0,Friedrich Wilhelm,Murnau
1,Tim,Burton
2,Johnny,Depp
3,George,O´Brien
4,Janet,Gaynor
5,Magaret,Livingston
6,Bodil,Rosing
7,Ralph,Slipperly
8,Gösta,Ekman
9,Emil,Jannings
10,Winona,Ryder
11,Dianne,Wiest
12,Christina,Ricci
13,Miranda,Richardson
14,Jack,Nicholson
15,Glenn,Close
16,Danny,DeVito
17,Marcel,Seehuber
18,Hanna,Poddig
19,Chris,Evans
20,Robert,Downey Jr.
21,Stan,Lee
22,Anthony,Russo
23,Lars,von Trier
24,Jens,Albinus
25,Anne Louise,Hassing
26,Troels,Lyby
27,Willem,Dafoe
28,Charlotte,Gainsbourg
29,Michael,Haneke
30,Isabelle,Huppert
31,Jean-Louis,Trintignant
32,Quentin,Tarantino
33,Samuel L.,Jackson
34,Kurt,Russel
35,Jamie,Foxx
36,Leonardo,DiCaprio
37,Brad,Pitt
38,Christoph,Waltz
39,Vivica A.,Fox
40,Ambrosia,Kelly
41,Tim,Roth
