0,Edward mit den Scherenhänden,Englisch,6,1990
1,Sleepy Hollow,Englisch,16,1999
2,Mars Attacks!,Englisch,12,1996
3,Sonnenaufgang,Englisch,6,1927
4,Faust: Eine deutsche Volkssage,Deutsch,6,1926
5,Projekt A,Deutsch,0,2015
6,The First Avenger: Civil War,Englisch,12,2016
7,Idioten,Dänisch,16,1998
8,Antichrist,Englisch,18,2009
9,Happy End,French,18,2017
10,The Hateful 8,Englisch,16,2015
11,Django Unchained,Englisch,16,2012
12,Inglourious Basterds,Englisch,16,2009
13,Kill Bill: Vol. 2,Englisch,16,2004
14,Pulp Fiction,Englisch,16,2004
